Name,Country,Title,Organizations,Type,Bio,ImageUrl,WebsiteUrl,LinkedinUrl,KeyContributionTitle,KeyContributionType
Dr. Dustin Moody,USA,Mathematician & PQC Lead,NIST (USA),Public,"Leads the global effort to evaluate and standardize post-quantum cryptographic algorithms (FIPS 203/204/205).",https://ui-avatars.com/api/?name=Dustin+Moody&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography,https://www.linkedin.com/in/dustin-moody-9b6b6b1a/,Considerations for Achieving Cryptographic Agility,White Paper
Ollie Whitehouse,UK,Chief Technical Officer,NCSC (UK),Public,"Driving the UK's strategic roadmap for PQC migration and industry preparedness.",https://ui-avatars.com/api/?name=Ollie+Whitehouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ncsc.gov.uk/whitepaper/next-steps-pqc,https://www.linkedin.com/in/olliewhitehouse/,Sausages and incentives: rewarding a resilient technology future,Blog
Jérôme Plût,France,Head of Cryptography Laboratory,ANSSI (France),Public,"Key figure in defining France's hybrid transition strategy and national security requirements.",https://ui-avatars.com/api/?name=Jerome+Plut&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ssi.gouv.fr/en/,https://www.linkedin.com/,Avis scientifique et technique sur la migration PQC,White Paper
Mark Hughes,USA,Global Managing Partner,IBM,Private,"Advocate for Cryptographic Bill of Materials (CBOM) and leader in IBM's quantum-safe initiatives.",https://ui-avatars.com/api/?name=Mark+Hughes&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.ibm.com/quantum/quantum-safe,https://www.linkedin.com/in/mark-hughes-ibm/,Training Like It’s Real: The Only Option Against Today’s Cyberattacks,Blog
Jack Hidary,USA,CEO,SandboxAQ,Private,"Pioneering the intersection of AI and Quantum security to help enterprises manage the PQC transition.",https://ui-avatars.com/api/?name=Jack+Hidary&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/jackhidary/,Quantum Computing: An Applied Approach,Book
Andersen Cheng,UK,CEO,Post-Quantum,Private,"Coined the term 'Harvest Now, Decrypt Later' and advocates for immediate action on data privacy.",https://ui-avatars.com/api/?name=Andersen+Cheng&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.post-quantum.com/,https://www.linkedin.com/in/andersencheng/,The Needle is Shifting on Post-Quantum Security,Blog
Dr. Ali El Kaafarani,UK,CEO & Research Fellow,PQShield; Oxford Mathematical Institute,Private,"Leading the development of hardware and software PQC solutions and contributing to NIST standards.",https://ui-avatars.com/api/?name=Ali+El+Kaafarani&background=0b0d17&color=a78bfa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/ali-el-kaafarani/,The new NIST standards are here: what does it mean for PQC in 2024?,White Paper
Vadim Lyubashevsky,Switzerland,Principal Research Scientist,IBM Research Europe,Private,"Expert in lattice-based cryptography and co-developer of CRYSTALS-Kyber and CRYSTALS-Dilithium.",https://ui-avatars.com/api/?name=Vadim+Lyubashevsky&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.ibm.com/research,,Lattice-Based Cryptography,Book
Peter Schwabe,Germany,Scientific Director & Professor,MPI-SP; Radboud University; Ruhr University Bochum,Public,"Leader in cryptographic engineering and PQC standardization (SPHINCS+, Kyber, Dilithium).",https://ui-avatars.com/api/?name=Peter+Schwabe&background=0b0d17&color=22d3ee&size=128&bold=true,https://cryptojedi.org/peter/,,CRYSTALS-Kyber (ML-KEM) Standard,Standard
Lily Chen,USA,Mathematician & Group Leader,NIST (USA),Public,"Leads NIST's cryptographic technology group and PQC standardization efforts.",https://ui-avatars.com/api/?name=Lily+Chen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.nist.gov/people/lily-chen,,Communications System Security,Book
Michele Mosca,Canada,CEO & Professor,evolutionQ; University of Waterloo,Private,"Pioneer in quantum risk management and co-founder of the Institute for Quantum Computing.",https://ui-avatars.com/api/?name=Michele+Mosca&background=0b0d17&color=a78bfa&size=128&bold=true,https://uwaterloo.ca/combinatorics-and-optimization/people-profiles/michele-mosca,,An Introduction to Quantum Computing,Book
