threat_id,industry,criticality,affected_software_categories,specific_software_at_risk,pqc_migration_priority,recommended_actions
THREAT-FIN-001,Financial Services,CRITICAL,"CSC-001 (Cryptographic Libraries), CSC-005 (TLS/SSL), CSC-004 (PKI), CSC-029 (Payment Cryptography)","OpenSSL, BoringSSL, payment HSMs, banking PKI systems",Critical,"1. Inventory all cryptographic libraries; 2. Deploy hybrid TLS 1.3 with ML-KEM; 3. Upgrade payment HSMs to PQC-ready models"
THREAT-FIN-002,Financial Services,HIGH,"CSC-003 (Key Management), CSC-002 (HSM Software), CSC-007 (Database Encryption)","HashiCorp Vault, Thales Luna HSM, Oracle TDE, SQL Server TDE",Critical,"1. Audit key lifecycle management; 2. Plan HSM replacement cycle; 3. Test database encryption with PQC algorithms"
THREAT-GOV-001,Government/Defense,CRITICAL,"CSC-004 (PKI), CSC-026 (Secure Boot), CSC-014 (SSH)","Microsoft AD CS, OpenSSH, secure boot implementations, TPM",Critical,"1. Immediate CNSA 2.0 compliance assessment; 2. Deploy ML-DSA for code signing; 3. Enable PQC SSH (mlkem768x25519)"
THREAT-GOV-002,Government/Defense,CRITICAL,"CSC-011 (Secure Messaging), CSC-001 (Crypto Libraries), CSC-008 (Email Encryption)","Signal Protocol, S/MIME implementations, classified messaging",High,"1. Deploy PQXDH for messaging; 2. Upgrade to PQC-enabled S/MIME; 3. Test interoperability"
THREAT-HC-001,Healthcare,CRITICAL,"CSC-007 (Database Encryption), CSC-008 (Email Encryption), CSC-006 (Disk Encryption)","EHR database encryption, HIPAA email encryption, endpoint encryption",High,"1. Prioritize EHR systems for PQC; 2. Deploy quantum-safe TLS for patient portals; 3. Update disk encryption"
THREAT-HC-002,Healthcare,HIGH,"CSC-015 (API Security), CSC-003 (Key Management), CSC-012 (Credential Management)","Healthcare API gateways, JWT libraries, credential vaults for medical devices",High,"1. Audit API security; 2. Plan JWT migration to PQC signatures; 3. Update device credential management"
THREAT-CI-001,Critical Infrastructure,CRITICAL,"CSC-005 (TLS/SSL), CSC-014 (SSH), CSC-010 (VPN/IPsec), CSC-026 (Secure Boot)","SCADA TLS, industrial SSH, OT VPNs, embedded firmware signing",Critical,"1. Deploy hybrid TLS for SCADA; 2. Update OT SSH to PQC; 3. Plan firmware signing with ML-DSA"
THREAT-CI-002,Critical Infrastructure/Energy,CRITICAL,"CSC-001 (Crypto Libraries), CSC-005 (TLS/SSL), CSC-026 (Secure Boot)","wolfSSL for embedded, mbed TLS, secure boot for grid controllers",Critical,"1. Lightweight PQC for resource-constrained devices; 2. Test ML-KEM on microcontrollers; 3. Update boot chain"
THREAT-RETAIL-001,Retail/E-commerce,HIGH,"CSC-029 (Payment Crypto), CSC-004 (PKI), CSC-005 (TLS/SSL)","P2PE solutions, payment terminals, e-commerce TLS",Critical,"1. Coordinate with payment networks on PQC timeline; 2. Update POS terminals; 3. Deploy PQC TLS"
THREAT-TELECOM-001,Telecommunications,CRITICAL,"CSC-005 (TLS/SSL), CSC-001 (Crypto Libraries), CSC-010 (VPN)","5G crypto implementations, telecom TLS, VoIP encryption",Critical,"1. 3GPP PQC standards implementation; 2. Upgrade network element crypto; 3. Test PQC impact on latency"
THREAT-CLOUD-001,Cloud Services,HIGH,"CSC-003 (Key Management), CSC-028 (Cloud Encryption Gateways), CSC-002 (HSM)","AWS KMS, Azure Key Vault, Google Cloud KMS, CASBs",Critical,"1. Enable PQC options in cloud KMS; 2. Update CASB encryption; 3. Plan multi-cloud PQC strategy"
THREAT-IOT-001,IoT/Embedded,CRITICAL,"CSC-001 (Crypto Libraries), CSC-026 (Secure Boot), CSC-014 (SSH)","wolfSSL, mbed TLS, embedded SSH, OTA update crypto",High,"1. Select lightweight PQC implementations; 2. Update OTA signature verification; 3. Plan device lifecycle"
THREAT-AUTO-001,Automotive,HIGH,"CSC-026 (Secure Boot), CSC-001 (Crypto Libraries), CSC-017 (Code Signing)","Automotive ECU crypto, V2X communication, software update signing",High,"1. Align with automotive PQC standards; 2. Update ECU firmware signing; 3. Test V2X with PQC"
THREAT-DEFENSE-001,Defense,CRITICAL,"CSC-004 (PKI), CSC-002 (HSM), CSC-011 (Secure Messaging), CSC-019 (Secure Enclave)","Military PKI, defense HSMs, classified communication systems, SGX/TrustZone",Critical,"1. Immediate CNSA 2.0 implementation; 2. Deploy quantum-resistant crypto in TEEs; 3. Update all PKI infrastructure"
THREAT-SUPPLY-001,Supply Chain,HIGH,"CSC-017 (Code Signing), CSC-004 (PKI), CSC-020 (Blockchain)","Software signing, container signing, supply chain blockchain",High,"1. Deploy Sigstore with PQC; 2. Update container registry signing; 3. Plan blockchain PQC migration"
